,Unnamed: 0,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Married_couples_3_Households,Religion_Not_Stated,deceased,Sikhs,Married_couples_None_Households,Power_Parity_Rs_330000_425000,Population,Power_Parity_Above_Rs_545000,DaysFromFirstDate_y,Households_with_Telephone_Mobile_Phone_Both,Muslims,Main_source_of_drinking_water_River_Canal_Households,Literate,Household_size_9_persons_and_above_Households,Cultivator_Workers,Female_Workers,Other_Workers,Gender_Ratio,Power_Parity_Rs_240000_330000,Illiterate_Education,Household_size_1_person_Households,Total_Power_Parity,Christians,Households_with_Computer,active,LPG_or_PNG_Households,NumRuralHospitals_NHP18,Household_size_6_8_persons_Households,Area,Households_with_Television,Power_Parity_Rs_150000_330000,Households_with_Telephone_Mobile_Phone_Mobile_only,Married_couples_3_or_more_Households,Female,Not_having_bathing_facility_within_the_premises_Total_Households,TotalPublicHealthFacilities_HMIS,Total_Education,Secondary_Education,Non_Workers,Type_of_bathing_facility_Enclosure_without_roof_Households,Power_Parity_Rs_425000_545000,Households_with_Internet,Households_with_Radio_Transistor,Household_size_1_to_2_persons,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,District_code,Male,Negative,Household_Workers,Type_of_latrine_facility_Pit_latrine_Households,SC,Location_of_drinking_water_source_Away_Households,Agricultural_Workers,Power_Parity_Rs_90000_150000,NumUrbanHospitals_NHP18,Households_with_Telephone_Mobile_Phone,Households,Households_with_separate_kitchen_Cooking_inside_house,Main_source_of_drinking_water_Tapwater_Households,TotalSamples,Other_Education,NumUrbanBeds_NHP18,Hindus,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Near_the_premises_Households,Male_Workers,Housholds_with_Electric_Lighting,Having_bathing_facility_Total_Households,Male_ST,Married_couples_1_Households,Population.1,Primary_Education,Households_with_Car_Jeep_Van,Power_Parity_Rs_150000_240000,Age_Group_0_29,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,NumDistrictHospitals_HMIS,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Literate_Education,Main_source_of_drinking_water_Un_covered_well_Households,Having_latrine_facility_within_the_premises_Total_Households,Married_couples_5__Households,Positive,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,NumRuralBeds_NHP18,Type_of_latrine_facility_Other_latrine_Households,Location_of_drinking_water_source_Within_the_premises_Households,Power_Parity_Rs_45000_150000,confirmed,DaysFromFirstDate_x,type_Private Laboratory,Power_Parity_Less_than_Rs_45000,Jains,Married_couples_2_Households,Main_Workers,Marginal_Workers,Buddhists,Others_Religions,Household_size_2_persons_Households,Household_size_3_to_5_persons_Households,Condition_of_occupied_census_houses_Dilapidated_Households,Male_SC,Power_Parity_Rs_330000_545000,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Higher_Education,Type_of_fuel_used_for_cooking_Any_other_Households,Rural_population,Rural_Households,Male_Literate,Age_Group_50,recovered,Household_size_3_persons_Households,Urban_population,NumPublicBeds_HMIS,Female_Literate,Workers,Graduate_Education,Power_Parity_Rs_45000_90000,Household_size_5_persons_Households,type_Government Laboratory,Urban_Households,type_Collection Site,Ownership_Owned_Households,Age_Group_30_49,Households_with_Scooter_Motorcycle_Moped,NumPrimaryHealthCenters_HMIS,Female_ST,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Households_with_Bicycle,NumSubDistrictHospitals_HMIS,Middle_Education,Main_source_of_drinking_water_Spring_Households,Ownership_Rented_Households,Married_couples_4_Households,Below_Primary_Education,Households_with_Telephone_Mobile_Phone_Landline_only,zone,NumCommunityHealthCenters_HMIS,Household_size_4_persons_Households,ST,Density,Female_SC,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Age_not_stated,state_active,state_recovered,state_deceased
331,331,15,Tamil Nadu,Cuddalore,6,89,0,6433,5101,0,401,90912,200,72147030,385,111,29494,123749,464,1815281,7495,165170,420247,433271,996,405,634041,25226,5300,83334,50938,298,244610,692,97658,"130,058",555029,1088,409698,7371,1294217,344306,2581,2502878,386652,1436034,85176,432,15396,121956,101083,122085,617,1311697,182541,32027,23981,763944,35499,539412,1097,525,470021,758209,455369,498446,188241,67411,37353,2391675,4070,62059,389219,749633,598412,293116,7943,473604,2605914,412237,19828,683,1364411,1607,32,27077,1868837,8151,230004,165,4829,6081,40179,3082,212704,2677,324,111,10,519,1280,65535,837271,332609,236,138,75857,431186,13516,383943,632,138,186394,279,37229590,497429,1000322,473617,26,107152,34917440,72616,814959,1169880,227530,1580,131975,16,260780,0,526657,764669,178515,1854,7759,394057,343988,310,418769,1409,98143,773,169844,30829,2,385,192059,15702,555,380001,6763,3217,3035,909,31
332,332,15,Tamil Nadu,Dindigul,0,9,0,6056,4546,1,313,77288,228,72147030,236,111,20547,105012,1758,1481834,5217,165405,439686,440962,996,322,480681,30279,4682,169945,38677,31,209640,692,68502,"130,058",458486,956,335455,6698,1078837,206469,2581,2075710,282628,1054620,110764,479,9155,130963,113811,66961,612,1080938,182541,30829,36351,452376,41028,467959,1000,525,379839,713542,458498,459347,188241,29443,37353,1879494,5001,57892,381313,665469,500057,356703,4095,414781,2159775,386421,15538,634,1065734,3086,32,15800,1595029,21095,187447,99,4829,11021,40179,4884,140831,2362,107,111,10,421,71,64405,963017,142138,256,138,83532,375642,9191,225573,707,934,153100,391,37229590,443818,816180,443528,75,107295,34917440,72616,665654,1105155,163050,1362,95903,16,269724,0,445908,647806,147737,1854,3969,330624,222834,310,372636,3328,106467,543,207751,23837,2,385,172444,8064,555,226803,4960,2707,3035,909,31
333,333,15,Tamil Nadu,Kancheepuram,9,36,0,10013,21978,1,1620,123421,522,72147030,797,111,103399,173785,1411,3013382,11202,89343,492506,1257225,996,560,678374,37098,8349,256762,200738,74,622095,692,115195,"130,058",904619,1698,665334,11193,1985294,188733,2581,3546183,634172,2324438,132855,832,100322,240359,166082,163172,604,2012958,182541,54732,51093,948081,61890,272514,1965,525,832716,1213504,822329,732354,188241,67354,37353,3537399,26856,129924,496248,1181308,961161,805076,20605,761575,3998252,535947,68427,1138,2076492,5912,32,137686,2867809,39231,651240,155,4829,32942,40179,9902,435671,3958,86,111,10,541,4962,97620,1367378,306436,990,756,128984,701330,13344,474264,1354,3262,312208,475,37229590,438799,1611461,715895,11,196143,34917440,72616,1401921,1673814,526886,1993,179266,16,774705,0,700252,1200284,418526,1854,20605,323242,425865,310,608188,1413,281627,1025,183054,63983,3,385,325921,41210,555,473817,9949,5581,3035,909,31
334,334,15,Tamil Nadu,Karur,0,1,0,2873,822,0,115,46334,99,72147030,145,111,13620,53292,683,727044,2981,85872,214264,245249,996,158,276930,21751,2151,16483,17995,2,135831,692,32276,"130,058",250010,425,183206,3206,536309,119700,2581,1036340,146666,521195,43109,172,4915,73515,67478,26150,613,528184,182541,11340,14410,221385,13834,200837,485,525,210748,364661,221882,250198,188241,14951,37353,993666,2094,20977,167820,329034,264949,168148,297,206574,1064493,190229,10648,267,501585,468,32,10393,759410,7098,118708,42,4829,3091,40179,1201,106194,1113,44,111,10,199,7,31734,508507,34791,29,79,45727,185113,4724,108809,271,23,77874,60,37229590,212241,401726,241843,42,57883,34917440,72616,325318,543298,85595,628,44314,16,152420,0,221047,320645,117119,1854,278,153234,153941,310,167466,291,61893,291,76629,13922,2,385,82916,575,555,112576,3276,420,3035,909,31
335,335,15,Tamil Nadu,Krishnagiri,0,2,0,7239,3630,0,468,51757,76,72147030,125,111,17626,115303,741,1187958,7994,236038,316145,356495,996,279,578724,17909,3203,35956,38239,4,151246,692,76103,"130,058",383553,601,283487,8204,919577,158469,2581,1865561,276694,1002030,92796,143,9619,40737,66127,78379,631,960232,182541,21918,28231,267386,44420,263328,696,525,321489,580540,343998,340224,188241,24128,37353,1723737,3237,50206,320796,561634,409237,291593,11419,329145,1879809,290351,13381,322,1034474,1448,32,19571,1286837,21597,148607,145,4829,5555,40179,2997,84846,1851,4,111,10,409,373,60956,742001,135778,121,221,48218,299838,8121,135474,219,298,133744,242,37229590,437988,667062,311238,0,74424,34917440,72616,520896,877779,137081,1155,88759,16,142552,0,371936,533183,150122,1854,10969,289169,153645,310,289026,1279,73339,820,135813,20376,2,385,136655,22388,555,131912,5120,914,3035,909,31
336,336,15,Tamil Nadu,Madurai,12,8,0,7350,8602,2,520,112608,372,72147030,738,111,47472,168881,810,2273430,8561,92719,451928,841792,996,502,449125,40659,6917,97711,95311,62,391821,692,83006,"130,058",708942,1482,530152,8241,1511777,246100,2581,2847799,453509,1683620,66623,710,34097,228106,153915,90919,623,1526475,182541,47293,26772,408976,65204,372828,1526,525,618922,1010441,714764,678712,188241,39350,37353,2760502,19034,62999,434208,902704,754141,551839,5622,605700,3038252,525151,30852,980,1528178,5747,32,54832,2398674,3207,472221,129,4829,23070,40179,8103,298527,3158,112,111,10,458,1532,71390,1173902,180730,199,305,113256,552457,10479,205098,1082,1171,250285,304,37229590,417718,1223810,593827,48,154348,34917440,72616,1049620,1354632,363152,1632,139168,16,592723,0,491822,913715,228557,1854,5474,283179,325803,310,532616,2055,279755,762,234611,41298,3,385,258941,11096,555,203878,7653,2532,3035,909,31
337,337,15,Tamil Nadu,Perambalur,2,1,0,1057,376,0,83,28555,40,72147030,31,111,5841,32702,59,375823,992,117304,137087,58801,996,79,109011,11089,979,10301,7745,36,49390,692,16991,"130,058",125953,166,90597,1159,283066,92948,2581,552384,71650,265497,16674,36,1507,25925,35672,16041,615,282157,182541,5343,4809,175289,9087,118278,242,525,103116,188592,119795,122903,188241,9189,37353,521658,864,9740,111622,162639,135751,56453,1292,105551,565223,106751,2259,87,291371,144,32,2687,443373,7474,33135,10,4829,1923,40179,1033,28692,588,40,111,10,117,38,14136,255097,44629,39,26,24583,95746,2940,87444,76,933,41447,33,37229590,155413,208011,115151,4,28566,34917440,72616,167812,299726,44025,346,26160,16,33179,0,132395,158218,32178,1854,1292,109778,59863,310,85101,67,14725,92,85210,6678,2,385,41020,2584,555,87845,1214,483,3035,909,31
338,338,15,Tamil Nadu,Pudukkottai,1,1,0,5400,1992,0,119,54067,86,72147030,92,111,18996,114194,2213,1110545,6851,209270,290594,233333,996,229,447346,17015,2812,72850,18272,3,82967,692,68484,"130,058",324444,511,249584,6160,815157,278454,2581,1614529,251855,856652,24329,132,4494,88107,59334,39632,621,803188,182541,13941,15330,284804,57924,305149,636,525,286329,503941,245499,301552,188241,31315,37353,1428784,6134,28927,275689,471099,354493,112174,647,283940,1618345,283299,7882,282,835853,2875,32,8191,1167183,10324,109247,99,4829,36768,40179,4166,57015,1641,3,111,10,349,32,46461,640248,121445,81,293,42319,255959,14516,141428,218,22488,121706,119,37229590,399712,608776,311175,0,60971,34917440,72616,501769,761693,111731,1005,85132,16,104229,0,344074,470428,110324,1854,636,272449,209024,310,270046,5933,42109,661,97231,17749,2,385,109856,1283,555,143376,4963,889,3035,909,31
339,339,15,Tamil Nadu,Salem,0,1,0,7933,4547,0,412,132976,437,72147030,515,111,46638,95487,1706,2285562,6260,257004,610363,841443,996,523,955045,54960,8169,53841,63867,11,448968,692,104034,"130,058",749932,1720,564666,8622,1700485,345077,2581,3290477,457866,1787896,176899,943,20660,196973,196664,96292,608,1781571,182541,141503,36933,580512,98845,454210,1727,525,650064,1170352,681331,723966,188241,60365,37353,3326357,6722,77409,593208,1083797,835377,573822,60489,678452,3482056,571061,30660,1197,1737345,32290,32,39279,2335432,79818,321173,80,4829,9970,40179,34442,226846,3912,35,111,10,642,992,98849,1561030,133130,174,246,141704,611941,16423,294062,1380,414,242306,310,37229590,572813,1285107,713294,24,176298,34917440,72616,1000455,1694160,296399,2185,157811,16,597539,0,706525,1029479,352121,1854,58880,495095,441388,310,518763,1128,199211,609,188672,38760,2,385,277832,119369,555,286450,10005,1938,3035,909,31
340,340,15,Tamil Nadu,Thanjavur,0,1,0,6279,2805,0,231,93957,187,72147030,348,111,42853,190814,152,1790998,7394,129913,293596,397605,996,389,461123,31686,4914,133971,42912,15,223044,692,82659,"130,058",522490,992,374054,7135,1223474,329940,2581,2273994,373111,1431811,59898,370,13495,137848,109324,97701,620,1182416,182541,31200,18669,455062,20460,415361,1064,525,446982,753372,514461,499900,188241,49261,37353,2075870,2937,34935,374666,680483,555582,275134,1739,445798,2405890,431983,17231,603,1193095,9827,32,24121,1812871,1831,272623,146,4829,4635,40179,10854,209948,2538,58,111,10,481,1256,58184,834484,139595,795,148,77638,405697,21937,225859,557,98,178126,171,37229590,479070,944264,499235,43,111423,34917440,72616,846734,974079,222410,1474,114151,16,274302,0,475525,712017,161750,1854,1822,307799,343328,310,419605,1448,108700,710,138375,30075,3,385,180123,3561,555,229203,6974,1543,3035,909,31
