,Unnamed: 0,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Positive,Married_couples_None_Households,NumDistrictHospitals_HMIS,Main_source_of_drinking_water_Un_covered_well_Households,Negative,LPG_or_PNG_Households,Household_size_3_to_5_persons_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Power_Parity_Rs_330000_545000,Illiterate_Education,Cultivator_Workers,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Married_couples_3_or_more_Households,Female_ST,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Gender_Ratio,Households_with_Radio_Transistor,Marginal_Workers,Location_of_drinking_water_source_Away_Households,Married_couples_4_Households,Households_with_Telephone_Mobile_Phone_Both,Household_size_3_persons_Households,Power_Parity_Rs_425000_545000,Buddhists,Total_Power_Parity,Literate,Other_Workers,Having_bathing_facility_Total_Households,Households_with_Scooter_Motorcycle_Moped,type_Collection Site,Literate_Education,Ownership_Rented_Households,Main_source_of_drinking_water_River_Canal_Households,Household_size_6_8_persons_Households,deceased,Higher_Education,Married_couples_2_Households,Household_size_9_persons_and_above_Households,Area,Type_of_latrine_facility_Other_latrine_Households,Power_Parity_Rs_150000_240000,Female_Literate,Households,Main_source_of_drinking_water_Other_sources_Households,Housholds_with_Electric_Lighting,Married_couples_1_Households,DaysFromFirstDate_y,Main_source_of_drinking_water_Tapwater_Households,Power_Parity_Rs_45000_150000,Power_Parity_Rs_90000_150000,Urban_Households,Households_with_Telephone_Mobile_Phone_Mobile_only,Male_SC,NumSubDistrictHospitals_HMIS,recovered,Rural_population,Christians,confirmed,Urban_population,Main_source_of_drinking_water_Tubewell_Borehole_Households,Ownership_Owned_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Religion_Not_Stated,Below_Primary_Education,NumRuralHospitals_NHP18,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Rs_240000_330000,Primary_Education,Households_with_Telephone_Mobile_Phone_Landline_only,Other_Education,Not_having_bathing_facility_within_the_premises_Total_Households,active,Households_with_Bicycle,Others_Religions,Household_size_1_to_2_persons,Household_size_5_persons_Households,Female,Total_Education,Secondary_Education,NumUrbanBeds_NHP18,Male_Literate,Population,ST,DaysFromFirstDate_x,Hindus,Female_SC,Households_with_Internet,Type_of_latrine_facility_Pit_latrine_Households,Main_source_of_drinking_water_Spring_Households,Male,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Graduate_Education,Condition_of_occupied_census_houses_Dilapidated_Households,Age_not_stated,Power_Parity_Rs_45000_90000,Male_Workers,Female_Workers,Population.1,Power_Parity_Rs_330000_425000,Age_Group_50,Muslims,Non_Workers,TotalPublicHealthFacilities_HMIS,Married_couples_5__Households,Having_latrine_facility_within_the_premises_Total_Households,Workers,Age_Group_30_49,NumUrbanHospitals_NHP18,NumPrimaryHealthCenters_HMIS,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Married_couples_3_Households,Location_of_drinking_water_source_Within_the_premises_Households,type_Private Laboratory,Households_with_Telephone_Mobile_Phone,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Main_Workers,Agricultural_Workers,type_Government Laboratory,Male_ST,Middle_Education,Household_size_2_persons_Households,Rural_Households,Density,TotalSamples,Sikhs,Households_with_separate_kitchen_Cooking_inside_house,Households_with_Television,Households_with_Computer,NumCommunityHealthCenters_HMIS,Power_Parity_Above_Rs_545000,zone,Households_with_Car_Jeep_Van,Household_Workers,Age_Group_0_29,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Power_Parity_Less_than_Rs_45000,Jains,Household_size_4_persons_Households,Household_size_1_person_Households,Power_Parity_Rs_150000_330000,NumPublicBeds_HMIS,NumRuralBeds_NHP18,SC,District_code,state_active,state_recovered,state_deceased
386,386,17,Bihar,Supaul,0,1,0,564.0,28560,43.0,1260,2299.0,12111,223470,415,134630,20,1220268,201882,424,10961,4926,5334,918,107152,405033,21374,1483,5441,53452,12,136,1836,1033283,98974,152501,21885,0,1116063,5069,265,141160,0,69665,55898,22279,"94,163",883,114,385611,600102,6634,51028,345385,113,5373,1147,350,27815,195500,182545,33.0,0,92341436,3758,1,11758016,12245,430158,10561,5136,467768,930.0,145728,5,269737,6271,5850,288303,1,192734,42,53895,89701,1073793,2336331,99530,5936.0,647672,104099452,10168,113,1809936,171704,1845,5817,43,1155283,425676,45726,22190,3008,797,551718,325964,2229076,8,277610,409251,1351394,2146.0,330,47753,877682,495020,103.0,2007,1099,9148,273702,0,207212,7366,472649,554271,6,5242,157787,46159,572287,"1,102",30320.0,271,258497,26559,25078,63.0,15,2.0,4064,22555,1453438,389547,533,546,80317,7736,119,17796.0,6083.0,354249,208,91,69,0
387,387,17,Chandigarh,Chandigarh,2,0,0,146.0,42854,4.0,45,1748.0,168344,144460,164,7208,7843,184265,2578,204,5667,0,542,818,65936,18207,5182,676,47345,36024,4461,1160,34145,805438,395072,210801,109701,0,731491,110377,12,43001,1,98786,24076,7984,114,196,4285,340092,298367,1120,231204,162464,113,227354,10783,7152,289456,148411,106356,1.0,21,28991,8720,146,1026459,2001,112043,263,1014,80406,0.0,27384,2444,118667,14027,20188,24260,124,135055,246,39616,44396,474787,915756,124707,778.0,465346,1055450,0,113,852574,92730,44283,1178,36,580663,6167,174528,8256,346,3631,328159,75977,1055450,3382,148945,51447,651314,47.0,119,206017,404136,303748,4.0,40,67323,4872,202495,0,209783,1372,385929,1687,3,0,114209,24396,8911,"9,252",1913.0,138329,226263,193932,78113,2.0,7897,3.0,60494,4799,602411,7578,893,1960,64040,15220,6729,3756.0,0.0,199086,55,124,21,1
388,388,17,Himachal Pradesh,Chamba,1,0,0,50.0,14306,15.0,131,9434.0,21458,52526,267,5918,128,154575,196665,154,3143,67600,959,972,25935,174403,10664,323,6783,10046,79,1740,950,323842,83656,46292,8880,0,344427,6546,371,31977,0,40440,17582,5475,"55,673",365,72,137778,200231,1749,96082,66941,113,96451,498,222,13836,64850,56154,61.0,6,6176050,1559,9,688552,9,94367,4,728,56272,705.0,55088,38,96789,2362,3252,55680,3,1657,14,11994,21669,257760,499002,64515,6734.0,186064,6864602,135500,113,479782,55536,1615,9420,1834,261320,1031,15506,2207,353,276,158791,135244,519080,49,81566,32455,225045,671.0,55,52553,294035,130606,96.0,516,2391,2765,36220,0,73995,4108,119632,9193,3,67900,67653,6765,186395,123,9522.0,2745,92819,62233,5117,79.0,97,2.0,5074,4521,306555,48216,118,57,20811,5229,110,8706.0,5665.0,111690,23,3,6,0
389,389,17,Karnataka,Chitradurga,0,3,0,753.0,43847,42.0,1341,92237.0,60522,213641,3822,63560,430,452975,286245,1250,12905,149615,2850,973,50130,189108,76978,1748,19601,48344,253,84,2374,1087392,249770,270699,55959,0,1164789,46758,545,81805,0,132435,54314,18108,"191,791",5495,158,480204,447348,2359,307257,243077,113,232128,1233,534,97644,168893,196819,147.0,1,37469335,3175,4,23625962,88921,298987,218,2665,188329,2471.0,190306,127,332648,18143,22078,83444,3,102607,128,40589,73781,818613,1617764,217567,49093.0,607188,61095297,302554,113,1520553,192298,5711,63566,299,840843,112447,75262,18054,1757,699,513311,343276,1659456,177,306412,128751,802869,2943.0,379,107142,856587,460057,374.0,2547,6484,10778,86859,5,206637,4453,667479,294337,12,152939,196470,29092,349704,319,98081.0,322,311189,174344,28897,207.0,60,2.0,7425,26235,891230,238428,365,3778,91516,11497,285,56333.0,21072.0,389117,566,71,14,4
390,390,17,Karnataka,Davanagere,7,7,0,753.0,49045,42.0,3072,92237.0,100812,249307,3557,61319,574,467414,230846,529,15775,115304,3885,973,44415,170108,74855,2466,21280,54589,337,164,3062,1308540,317050,353628,90291,0,1476376,73448,4433,89741,4,154781,54132,23597,"191,791",5397,233,587903,530691,2370,372671,285888,113,282186,1588,723,176011,239519,198299,147.0,2,37469335,5420,61,23625962,92179,320621,345,7176,242130,2471.0,208670,169,446793,23773,32375,51212,55,146389,1743,42195,85525,959097,1943790,269748,49093.0,720637,61095297,233112,113,1658465,194296,7320,77157,305,986400,109075,123863,19580,2255,865,585639,289568,1945497,237,336173,265805,1070290,2943.0,675,188046,875207,538551,374.0,2547,15464,12634,121315,5,284572,7637,705099,295873,12,117808,206686,31291,354680,319,98081.0,307,391623,256051,39416,207.0,91,2.0,15449,31438,1068518,205125,406,6417,109193,10904,402,56333.0,21072.0,392595,567,71,14,4
391,391,17,Karnataka,Uttara Kannada,9,3,0,753.0,56005,42.0,185103,92237.0,88187,197940,345,39286,409,277857,111581,4762,8827,17144,7570,973,53228,110222,48187,1389,35782,48618,253,12804,2531,1081906,371117,291554,73848,0,1156990,35242,2818,61437,0,108521,34399,14211,"191,791",721,223,499807,474792,3186,290791,220681,113,87791,1305,671,140511,147851,57841,147.0,11,37469335,44530,24,23625962,13926,273993,141,562,198632,2471.0,85273,111,338390,34749,22876,28358,13,122891,64,46324,65078,710913,1434847,210270,49093.0,582099,61095297,34239,113,1187306,58590,6129,35535,4547,726256,23515,94767,17386,697,634,430565,177961,1437169,156,281542,187974,828643,2943.0,491,189843,608526,412649,374.0,2547,10099,6947,186452,5,218382,15313,498304,116336,12,17095,183534,30374,334281,319,98081.0,305,308373,168026,21501,207.0,213,2.0,13152,9492,742281,122723,268,3624,84244,15950,334,56333.0,21072.0,116431,563,71,14,4
392,392,17,Kerala,Ernakulam,1,0,0,503.0,87002,53.0,218410,35355.0,499291,568385,4301,24328,782,268315,50423,1166,12193,8210,32320,1084,269428,187955,38103,738,286440,149988,398,614,6274,2855676,1103553,739614,322394,0,2848777,88824,372,103994,1,389793,112488,10353,"38,863",4438,466,1429953,1174691,6921,771287,580054,113,453148,3527,1933,804997,386537,131573,82.0,23,17471135,1248137,25,15934926,6856,689970,401,6564,212263,981.0,117964,452,446380,68129,113133,52123,1,250078,1083,109005,147414,1662831,3117092,702511,21139.0,1425723,33406061,16559,113,1509557,136838,88737,200176,2196,1619557,7550,429880,29359,2690,1594,913249,336094,3282388,384,858010,514397,2033045,1297.0,61,774743,1249343,1024720,299.0,933,132533,11394,635670,2,741106,10655,1061388,71391,10,8349,554817,85162,369694,859,35886.0,860,770185,696129,184167,229.0,392,1.0,135307,23976,1396968,10315,654,1176,270983,23843,918,39511.0,16865.0,268411,595,1,23,1
393,393,17,Tamil Nadu,Chennai,143,256,0,6009.0,118340,32.0,3500,209495.0,910262,798018,2888,15930,1962,419065,14454,80,17628,4854,2587,996,398414,197743,16519,1926,214074,237897,1214,2804,15742,3776276,1751824,1073399,515581,0,3642032,565934,49,122912,25,464207,111380,15916,"130,058",3927,1954,1808197,1314125,18353,1096334,859219,113,908587,5802,3685,1314125,688857,389001,310.0,374,37229590,358662,3046,34917440,43461,522493,619,38356,167207,692.0,245763,1866,516445,114191,67277,33168,2647,409796,1759,169721,182588,2310888,4061097,801050,37353.0,1968079,72147030,10061,113,3751322,390666,217368,7440,1061,2335844,170162,905515,9435,6894,2117,1369302,447995,4646732,748,899279,439270,2829435,2581.0,414,1057802,1817297,1468902,525.0,1854,264763,15288,844285,10,1017122,19543,1619554,13674,16,5207,720331,139139,0,555,216416.0,2851,1092062,1055696,355838,385.0,3686,3.0,146388,37345,2271657,6553,471,51708,377533,30582,3820,72616.0,40179.0,779667,603,3703,754,33
394,394,17,Tamil Nadu,Cuddalore,20,14,0,6009.0,90912,32.0,8151,209495.0,244610,431186,1607,85176,632,634041,165170,138,7371,7759,6763,996,121956,332609,35499,773,29494,107152,432,236,5300,1815281,433271,293116,178515,0,1868837,98143,464,97658,0,186394,65535,7495,"130,058",3082,683,814959,758209,4070,598412,473604,113,498446,2677,1097,260780,409698,383943,310.0,26,37229590,83334,390,34917440,62059,526657,279,5101,169844,692.0,389219,405,412237,30829,67411,344306,364,343988,138,101083,131975,1294217,2502878,386652,37353.0,1000322,72147030,15702,113,2391675,380001,15396,23981,1409,1311697,122085,227530,13516,3217,1580,749633,420247,2605914,200,473617,123749,1436034,2581.0,165,230004,1169880,764669,525.0,1854,27077,6433,212704,10,470021,6081,837271,539412,16,7943,418769,75857,497429,555,216416.0,401,455369,555029,50938,385.0,385,2.0,19828,32027,1364411,394057,519,1280,192059,25226,1088,72616.0,40179.0,763944,617,3703,754,33
395,395,17,Tamil Nadu,Dharmapuri,0,2,0,6009.0,44454,32.0,59989,209495.0,104785,252941,716,89072,134,512824,201328,125,5458,30914,3861,996,52200,98174,61589,409,16103,61578,92,39,2364,917709,267156,181094,107968,0,1011099,32008,939,56310,0,103367,50837,4004,"130,058",1139,255,390110,487926,2270,337972,280175,113,212222,1339,370,91107,222790,124706,310.0,1,37229590,14089,4,34917440,48634,344702,214,1167,129778,692.0,281438,180,240222,19859,26069,199830,3,164521,87,67669,76730,732540,1523923,177877,37353.0,527599,72147030,63044,113,1452956,120686,3651,15041,299,774303,99607,112592,8871,793,969,446057,305113,1506843,42,267536,38304,755673,2581.0,51,72402,751170,434328,525.0,1854,7687,4998,37897,10,258752,3633,652996,267345,16,32130,221194,49127,396819,555,216416.0,164,229150,310765,18927,385.0,76,2.0,5843,15341,804186,301065,380,37,114633,18542,435,72616.0,40179.0,245392,630,3703,754,33
