,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Population.1,Graduate_Education,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Male_Literate,zone,Main_Workers,Positive,Age_Group_50,Having_latrine_facility_within_the_premises_Total_Households,NumCommunityHealthCenters_HMIS,recovered,NumRuralBeds_NHP18,Sikhs,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Literate,Age_not_stated,Total_Education,Households_with_Bicycle,Higher_Education,Households_with_Telephone_Mobile_Phone,Muslims,Households_with_separate_kitchen_Cooking_inside_house,Married_couples_4_Households,Workers,Other_Workers,Households_with_Television,Age_Group_0_29,Other_Education,Area,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Households_with_Radio_Transistor,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,type_Collection Site,Married_couples_5__Households,Agricultural_Workers,Households_with_Computer,Buddhists,Condition_of_occupied_census_houses_Dilapidated_Households,Total_Power_Parity,Households_with_Telephone_Mobile_Phone_Landline_only,Female,Illiterate_Education,Power_Parity_Less_than_Rs_45000,Housholds_with_Electric_Lighting,Married_couples_3_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Jains,NumDistrictHospitals_HMIS,Male_Workers,Location_of_drinking_water_source_Near_the_premises_Households,Households,Rural_population,District_code,Cultivator_Workers,Households_with_Telephone_Mobile_Phone_Both,Age_Group_30_49,Ownership_Owned_Households,Marginal_Workers,Household_size_5_persons_Households,Households_with_Car_Jeep_Van,Power_Parity_Rs_45000_90000,Ownership_Rented_Households,Household_size_3_to_5_persons_Households,confirmed,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Location_of_drinking_water_source_Away_Households,type_Private Laboratory,Gender_Ratio,Main_source_of_drinking_water_Tapwater_Households,Others_Religions,active,Power_Parity_Rs_45000_150000,Household_size_2_persons_Households,Type_of_latrine_facility_Other_latrine_Households,Power_Parity_Rs_425000_545000,Middle_Education,Power_Parity_Rs_240000_330000,Having_bathing_facility_Total_Households,Urban_Households,deceased,Married_couples_1_Households,Female_ST,Negative,Power_Parity_Above_Rs_545000,Households_with_Scooter_Motorcycle_Moped,Household_size_1_to_2_persons,Household_size_9_persons_and_above_Households,NumUrbanBeds_NHP18,Household_size_3_persons_Households,type_Government Laboratory,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Main_source_of_drinking_water_Other_sources_Households,Urban_population,NumPrimaryHealthCenters_HMIS,Power_Parity_Rs_150000_330000,Religion_Not_Stated,Male_ST,Power_Parity_Rs_330000_425000,SC,Female_SC,NumPublicBeds_HMIS,Household_size_1_person_Households,Male_SC,Main_source_of_drinking_water_Un_covered_well_Households,ST,Female_Workers,Household_size_6_8_persons_Households,Primary_Education,Married_couples_None_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Density,Power_Parity_Rs_150000_240000,Households_with_Telephone_Mobile_Phone_Mobile_only,TotalSamples,Households_with_Internet,Type_of_latrine_facility_Pit_latrine_Households,Non_Workers,Household_Workers,Hindus,Power_Parity_Rs_90000_150000,LPG_or_PNG_Households,TotalPublicHealthFacilities_HMIS,Power_Parity_Rs_330000_545000,Not_having_bathing_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_River_Canal_Households,Male,Married_couples_2_Households,NumUrbanHospitals_NHP18,Secondary_Education,NumRuralHospitals_NHP18,Female_Literate,Nationality,Population,NumSubDistrictHospitals_HMIS,Christians,Location_of_drinking_water_source_Within_the_premises_Households,Below_Primary_Education,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Household_size_4_persons_Households,Literate_Education,Married_couples_3_or_more_Households,Rural_Households
208,10,Tamil Nadu,Thiruvallur,1,5,0,3728104,451321,1374,148885,1495711,3,1247918,2526,643614,636991,385,44,40179,1422,280985,2791721,4419,3297728,374923,303091,772398,143093,805187,1021,1538054,1135784,857364,1925296,66378,"130,058",175520,222750,112276,0,130,270586,174279,951,17057,7731,62993,1852042,610048,539,909400,9615,44284,3693,32,1103563,531907,1119433,37229590,602,73444,78827,1154775,636443,290136,164709,54505,1940,291863,671689,62,10795,63193,10,996,625071,530,18,3672,118838,11779,876,600731,455,786843,732196,0,717165,23551,124852,580,363741,150892,12554,37353,185181,16,474,133464,41640,34917440,1854,1592,18959,23692,472,821646,411120,72616,32054,410526,53570,47243,434491,103687,461918,117828,5948,555,1137,630578,129363,75634,76666,2190050,58240,3325823,1732,621907,2581,1348,151979,412,1876062,93063,525,622789,692,1296010,India,72147030,310,233633,343722,181452,858,321799,2687680,10766,387237
209,10,Tamil Nadu,Viluppuram,0,1,0,3458873,229726,842,59841,1234479,2,1260802,2526,624042,169801,385,26,40179,325,621276,2195776,3476,3430072,351418,246856,547305,133896,459716,1706,1703249,463153,676077,1881463,45680,"130,058",90689,101921,14829,0,368,832213,43311,238,15143,5306,35440,1718054,999902,730,748444,12652,9540,4032,32,1017383,612231,967314,37229590,607,369646,27731,949892,726665,442447,175528,13030,2002,67280,518788,55,7054,57534,10,996,663958,278,27,3043,86811,3534,271,549742,437,307759,159272,2,579796,37289,124852,143,184050,114590,16143,37353,120940,16,190,125683,5283,34917440,1854,1001,6884,37570,118,1015716,504847,72616,27779,510869,35352,74859,685866,154822,646306,102350,1117,555,564,484134,129363,8472,21746,1755624,38237,3174941,1041,228172,2581,389,496584,1555,1740819,107471,525,508930,692,961297,India,72147030,310,138279,134578,202930,1860,222320,2430170,14726,808042
210,11,Bihar,Araria,0,1,0,2811569,39627,34,54827,727643,1,696410,476,324091,52549,63,0,6083,371,505071,1195768,2523,3139606,279254,68177,240730,1207442,295636,1067,1069893,130666,40387,1872943,6938,"94,163",543136,125606,1645,0,299,691947,29796,187,21557,2035,8513,1348236,1653766,708,43290,6416,8327,1910,43,708391,213049,703274,92341436,209,222913,6631,612012,550065,373483,106781,5041,866,6185,277849,2,6741,31056,0,918,8056,63,2,1241,67876,1442,20,206161,9,225043,44213,0,459413,18961,2299,22,31983,80376,28036,5936,73656,6,3621,204426,7171,11758016,2007,33,3955,19887,12,382654,184407,17796,12500,198247,718,38848,361502,175194,426625,46453,753,"1,102",24,225586,25724,2561,8308,1741676,24367,1593525,375,17004,2146,32,336412,611,1463333,47807,103,112955,930,468125,India,104099452,33,4116,317350,625357,511,97412,1485840,7782,659061
211,11,Bihar,Bhojpur,4,2,0,2728407,131137,81,3508,973486,2,512009,476,387389,112983,63,1,6083,544,296961,1599151,5559,3177665,206776,163303,268330,197819,386150,13900,822493,218737,87879,1722387,10630,"94,163",387248,119372,4227,0,7473,364875,34658,647,35885,2600,11934,1298027,1005140,602,62153,36903,5428,1472,43,640283,78650,511927,92341436,231,190896,9622,613072,401256,310484,63618,7391,1068,9625,142899,18,6854,24348,0,918,15589,48,17,1603,25259,2527,48,367059,21,216412,77368,0,228026,6614,2299,53,43689,33629,88646,5936,29472,6,6058,152852,4615,11758016,2007,264,7496,7363,30,425402,202686,17796,8370,222716,4543,13977,182210,150381,605307,34932,1326,"1,102",243,246774,25724,3661,7772,1905914,47985,2518216,535,45763,2146,78,199143,268,1430380,94321,103,313509,930,625665,India,104099452,33,2165,312557,581580,464,49809,2172525,58276,434559
212,11,Bihar,Buxar,1,1,0,1706352,64117,94,3437,593544,3,328547,476,253998,64826,63,5,6083,248,194429,989807,2228,1802491,137996,89306,174119,105423,244087,9136,538322,127938,48405,1074754,5224,"94,163",240965,78643,2034,0,5116,251790,19324,5090,27055,1556,7107,818375,457814,392,46760,23401,4002,97,43,402180,54463,334657,92341436,232,132472,4408,375372,254972,209775,40198,5341,653,4718,88936,53,3597,19459,0,918,10728,57,48,966,15443,1201,19,256124,8,130771,35405,0,144919,12722,2299,25,26325,20068,56545,5936,18203,6,2628,92957,3395,11758016,2007,143,1858,14102,12,251737,119916,17796,4625,131821,4471,26824,136142,96849,420187,20387,589,"1,102",135,162604,25724,1784,3645,1168030,26122,1591454,313,27362,2146,31,131627,212,887977,59439,103,178044,930,396263,India,104099452,33,2125,188476,331675,301,30535,1344677,37653,299252
213,11,Bihar,Katihar,0,2,0,3071029,57114,61,44891,762256,2,667602,476,353483,108018,63,0,6083,2754,501555,1280190,2941,3150989,285976,88498,239686,1365645,333662,1233,1013566,151841,60110,2054202,11896,"94,163",580446,132058,2847,0,328,672291,27263,212,31743,2516,8276,1470599,1705551,732,60900,6587,17306,507,43,760522,239547,738070,92341436,212,168857,8052,660403,595596,345964,108736,5118,1069,11309,297110,2,16666,63125,0,918,13810,2141,2,1560,71206,2565,33,237243,14,200849,69838,0,505400,87781,2299,31,35004,91428,37632,5936,83087,6,5354,160030,15849,11758016,2007,138,6522,92190,20,263100,126671,17796,20222,136429,3749,179971,253044,190893,444260,59999,925,"1,102",124,223358,25724,2941,23821,2057463,20577,1684589,491,32570,2146,53,416214,916,1600430,43516,103,133811,930,517934,India,104099452,33,8659,314391,472616,480,105287,1445438,8148,668232
214,11,Bihar,Saran,0,1,0,3951862,148065,71,5389,1285767,2,545520,476,585386,137526,63,1,6083,371,495841,2157454,3330,3967204,431759,213251,423960,406449,586793,16311,1040231,272570,128169,2516115,9848,"94,163",578710,243581,5009,0,7004,493461,37442,229,55407,3667,15821,1929041,1313700,892,94787,47458,7068,322,43,857660,207758,777622,92341436,219,232097,9488,847031,628222,494711,101370,10948,1553,8764,226877,7,7986,52347,0,918,27833,107,6,2279,38867,2889,43,433759,19,276656,76299,0,384243,18464,2299,52,68604,52247,124352,5936,47876,6,3010,203347,6158,11758016,2007,374,7282,18322,27,474066,231090,17796,13380,242976,24127,36786,182571,238266,693465,54359,1249,"1,102",355,398651,25724,4509,7473,2911631,42103,3534772,726,51822,2146,70,365086,435,2022821,132367,103,361171,930,871687,India,104099452,33,2330,381637,793945,404,77631,2653504,70773,701323
215,11,Bihar,Sitamarhi,0,1,0,3423574,70549,64,3523,885188,1,753645,476,449035,152392,63,0,6083,261,573730,1436794,28217,3488656,317432,92783,340890,740101,642364,1464,1114583,224732,61089,2206340,11936,"94,163",710373,252121,3144,0,344,635907,42461,253,45624,2679,12246,1620322,1852765,866,66263,7662,7058,188,43,865929,358607,856964,92341436,206,216012,9864,739982,720630,360938,129240,7292,1150,6856,357069,6,19791,122665,0,918,10992,20,6,1670,113986,2963,22,196321,10,217626,49670,0,602916,1404,2299,29,38576,137053,28186,5936,102555,6,11322,150255,6150,11758016,2007,79,7543,1585,14,405714,192090,17796,23067,213624,2238,2989,248654,210775,394422,61687,1191,"1,102",69,318780,25724,3460,12987,2308991,37932,2672311,520,39465,2146,36,515457,302,1803252,59010,103,136500,930,551606,India,104099452,33,2897,251811,733380,542,125274,1635891,9470,807294
216,11,Gujarat,Anand,0,1,0,2092745,110351,55,51975,874481,3,690031,5054,366419,230571,385,31,11715,1524,191147,1551253,6271,1949453,172466,127459,244185,250919,344329,2684,844794,329593,203467,1134962,20487,"196,024",78937,64013,20391,0,569,346329,32523,267,7967,4372,21978,1005521,360506,261,378310,20634,4193,8591,37,627561,98762,621987,34694609,482,152412,34679,585093,379759,154763,84504,19352,953,31488,231623,74,5017,44677,4,919,323542,142,38,2246,39860,707,368,229013,314,254683,208909,5,266912,12063,69062,538,104613,58103,27026,20565,52344,10,183,42320,3879,25745083,1770,707,2719,12761,250,104465,49989,41129,18243,54476,9141,24824,217233,110412,560542,52524,443,308,393,187528,74116,9902,25352,1247951,16460,1798794,1293,147122,2236,618,172481,188,1087224,83841,122,283571,364,676772,India,60439692,44,29789,283725,257524,71,94775,1588947,23887,413078
217,11,Gujarat,Surat,1,1,0,6081322,379505,167,117310,2687468,3,2405288,5054,723415,1103767,385,99,11715,5703,149810,4571410,53718,5438048,397563,433651,995637,660772,1275151,6081,2553542,2076214,788447,3563443,79862,"196,024",207420,395329,112976,0,1103,325739,149331,12902,8298,16368,39959,2679098,942150,712,1252452,42215,21375,112835,37,2142819,228438,1899838,34694609,492,109549,100342,1740746,788508,148254,254274,106983,2970,478407,788695,657,5294,62145,4,919,1047402,3920,530,7398,126211,5698,1924,807021,1700,1150519,1529998,28,854742,424863,69062,1684,530528,174440,59925,20565,193437,10,1308,157733,20722,25745083,1770,3480,3945,432089,1170,158115,75913,41129,48229,82202,12286,856952,410723,276610,1332690,216710,4989,308,1780,855336,74116,55694,23291,3527780,42040,5260193,4428,815423,2236,3094,149151,402,3402224,178819,122,896927,364,1883942,India,60439692,44,21052,1009087,566242,84,340984,4495898,49399,369840
